date,decision,actual,confidence,traded,correct,pnl,lstm_signal,probs
2026-02-13,NO_TRADE,BUY,0.767,True,False,0.0,-22.98,"{'BUY': np.float32(0.05186059), 'NO_TRADE': np.float32(0.76683694), 'SELL': np.float32(0.18130244)}"
2026-02-18,NO_TRADE,NO_TRADE,0.466,False,True,0.0,-23.86,"{'BUY': np.float32(0.33468097), 'NO_TRADE': np.float32(0.1997672), 'SELL': np.float32(0.46555182)}"
2026-02-19,NO_TRADE,NO_TRADE,0.604,False,True,0.0,-23.57,"{'BUY': np.float32(0.06448674), 'NO_TRADE': np.float32(0.3314199), 'SELL': np.float32(0.6040934)}"
2026-02-20,NO_TRADE,BUY,0.654,False,False,0.0,-23.53,"{'BUY': np.float32(0.21718742), 'NO_TRADE': np.float32(0.12881924), 'SELL': np.float32(0.65399337)}"
2026-02-23,NO_TRADE,BUY,0.656,False,False,0.0,-25.02,"{'BUY': np.float32(0.2596422), 'NO_TRADE': np.float32(0.084429145), 'SELL': np.float32(0.6559287)}"
2026-02-24,NO_TRADE,BUY,0.557,False,False,0.0,-25.59,"{'BUY': np.float32(0.06671583), 'NO_TRADE': np.float32(0.37621063), 'SELL': np.float32(0.55707353)}"
2026-02-25,NO_TRADE,BUY,0.591,False,False,0.0,-25.96,"{'BUY': np.float32(0.12952381), 'NO_TRADE': np.float32(0.2798468), 'SELL': np.float32(0.5906294)}"
2026-02-26,NO_TRADE,SELL,0.606,False,False,0.0,-26.93,"{'BUY': np.float32(0.097991236), 'NO_TRADE': np.float32(0.2960178), 'SELL': np.float32(0.605991)}"
2026-02-27,SELL,SELL,0.841,True,True,2.54,-24.6,"{'BUY': np.float32(0.09408286), 'NO_TRADE': np.float32(0.06481603), 'SELL': np.float32(0.84110117)}"
2026-03-02,NO_TRADE,NO_TRADE,0.567,False,True,0.0,-22.7,"{'BUY': np.float32(0.24735717), 'NO_TRADE': np.float32(0.18522362), 'SELL': np.float32(0.56741923)}"
2026-03-03,NO_TRADE,SELL,0.575,False,False,0.0,-22.79,"{'BUY': np.float32(0.044646997), 'NO_TRADE': np.float32(0.38007057), 'SELL': np.float32(0.57528245)}"
2026-03-04,NO_TRADE,BUY,0.673,False,False,0.0,-16.83,"{'BUY': np.float32(0.6734938), 'NO_TRADE': np.float32(0.044989467), 'SELL': np.float32(0.28151667)}"
2026-03-05,NO_TRADE,SELL,0.597,False,False,0.0,-18.67,"{'BUY': np.float32(0.3445199), 'NO_TRADE': np.float32(0.058887303), 'SELL': np.float32(0.5965928)}"
2026-03-06,NO_TRADE,SELL,0.52,False,False,0.0,-17.03,"{'BUY': np.float32(0.51997656), 'NO_TRADE': np.float32(0.21049455), 'SELL': np.float32(0.26952887)}"
2026-03-09,NO_TRADE,SELL,0.544,False,False,0.0,-14.78,"{'BUY': np.float32(0.5443966), 'NO_TRADE': np.float32(0.21017762), 'SELL': np.float32(0.2454258)}"
2026-03-10,SELL,BUY,0.795,True,False,-1.35,-10.96,"{'BUY': np.float32(0.10430508), 'NO_TRADE': np.float32(0.10045811), 'SELL': np.float32(0.7952368)}"
2026-03-11,NO_TRADE,BUY,0.445,False,False,0.0,-12.51,"{'BUY': np.float32(0.4161452), 'NO_TRADE': np.float32(0.13918044), 'SELL': np.float32(0.44467428)}"
2026-03-12,NO_TRADE,SELL,0.436,False,False,0.0,-13.24,"{'BUY': np.float32(0.40460116), 'NO_TRADE': np.float32(0.15967038), 'SELL': np.float32(0.43572843)}"
2026-03-13,NO_TRADE,NO_TRADE,0.624,False,True,0.0,-11.91,"{'BUY': np.float32(0.6240156), 'NO_TRADE': np.float32(0.23055892), 'SELL': np.float32(0.14542547)}"
2026-03-16,NO_TRADE,BUY,0.473,False,False,0.0,-11.73,"{'BUY': np.float32(0.47253582), 'NO_TRADE': np.float32(0.28121653), 'SELL': np.float32(0.24624765)}"
2026-03-17,SELL,BUY,0.739,True,False,-8.2,-14.41,"{'BUY': np.float32(0.17991035), 'NO_TRADE': np.float32(0.08071528), 'SELL': np.float32(0.7393744)}"
2026-03-25,NO_TRADE,SELL,0.635,False,False,0.0,-20.84,"{'BUY': np.float32(0.29419678), 'NO_TRADE': np.float32(0.0704173), 'SELL': np.float32(0.6353859)}"
2026-03-26,NO_TRADE,SELL,0.686,False,False,0.0,-17.38,"{'BUY': np.float32(0.1701392), 'NO_TRADE': np.float32(0.68633413), 'SELL': np.float32(0.14352669)}"
2026-03-27,NO_TRADE,NO_TRADE,0.584,False,True,0.0,-14.15,"{'BUY': np.float32(0.2639525), 'NO_TRADE': np.float32(0.5841141), 'SELL': np.float32(0.15193343)}"
2026-03-30,NO_TRADE,BUY,0.446,False,False,0.0,-13.94,"{'BUY': np.float32(0.27331293), 'NO_TRADE': np.float32(0.44567022), 'SELL': np.float32(0.28101692)}"
2026-03-31,NO_TRADE,BUY,0.486,False,False,0.0,-14.53,"{'BUY': np.float32(0.32426634), 'NO_TRADE': np.float32(0.48565483), 'SELL': np.float32(0.19007888)}"
2026-04-01,NO_TRADE,SELL,0.69,False,False,0.0,-16.99,"{'BUY': np.float32(0.13143411), 'NO_TRADE': np.float32(0.17906022), 'SELL': np.float32(0.6895057)}"
2026-04-02,NO_TRADE,BUY,0.421,False,False,0.0,-16.46,"{'BUY': np.float32(0.2754257), 'NO_TRADE': np.float32(0.42088616), 'SELL': np.float32(0.3036881)}"
2026-04-06,NO_TRADE,SELL,0.464,False,False,0.0,-17.25,"{'BUY': np.float32(0.13249487), 'NO_TRADE': np.float32(0.40363857), 'SELL': np.float32(0.4638666)}"
2026-04-07,NO_TRADE,BUY,0.605,False,False,0.0,-15.56,"{'BUY': np.float32(0.17764758), 'NO_TRADE': np.float32(0.60534436), 'SELL': np.float32(0.2170081)}"
2026-04-08,SELL,BUY,0.803,True,False,-0.95,-17.16,"{'BUY': np.float32(0.11093561), 'NO_TRADE': np.float32(0.08557409), 'SELL': np.float32(0.8034903)}"
2026-04-09,NO_TRADE,BUY,0.608,False,False,0.0,-17.89,"{'BUY': np.float32(0.10053801), 'NO_TRADE': np.float32(0.2919455), 'SELL': np.float32(0.60751647)}"
2026-04-10,SELL,SELL,0.746,True,True,0.62,-18.39,"{'BUY': np.float32(0.102492355), 'NO_TRADE': np.float32(0.15154569), 'SELL': np.float32(0.74596196)}"
2026-04-13,SELL,SELL,0.758,True,True,2.19,-17.85,"{'BUY': np.float32(0.12809241), 'NO_TRADE': np.float32(0.114329286), 'SELL': np.float32(0.7575783)}"
2026-04-14,SELL,SELL,0.749,True,True,0.96,-16.03,"{'BUY': np.float32(0.12360994), 'NO_TRADE': np.float32(0.12745763), 'SELL': np.float32(0.7489324)}"
2026-04-15,NO_TRADE,BUY,0.54,False,False,0.0,-15.29,"{'BUY': np.float32(0.20488124), 'NO_TRADE': np.float32(0.5399625), 'SELL': np.float32(0.25515628)}"
2026-04-16,NO_TRADE,SELL,0.498,False,False,0.0,-16.19,"{'BUY': np.float32(0.095992416), 'NO_TRADE': np.float32(0.49838737), 'SELL': np.float32(0.4056202)}"
